venue_id,type
55fa8a16c35f4fb0d21d582a,journal
53a730a420f7420be8cffe96,journal
53a725f020f7420be8b5e4e2,journal
53a7325520f7420be8d8eedf,journal
53a728fc20f7420be8bc0b83,journal
53a730ba20f7420be8d06833,journal
53a72ae720f7420be8c10895,journal
53a7271020f7420be8b8a9e9,journal
539078f620f770854f5ab177,journal
539090d920f70186a0de012d,journal
53a72f7320f7420be8ca95bd,journal
53a7288320f7420be8bafb66,journal
53a7296120f7420be8bd2701,journal
53a7276220f7420be8b8cd8e,journal
555036e37cea80f954164af5,journal
53a728a420f7420be8bb426a,journal
5390885420f70186a0d8e898,journal
53a728e320f7420be8bbc4aa,journal
53a72b1f20f7420be8c1a235,journal
53a7299120f7420be8bdb4b3,journal
53a7250d20f7420be8b43b7e,journal
555036cb7cea80f954157563,journal
53a7290420f7420be8bc1771,journal
58a3b7fb9ed5db6f9e2fdba7,journal
539ff916831432abcb57b1dc,journal
555036de7cea80f954161ba9,journal
53a7295320f7420be8bd0f3b,journal
53a7256c20f7420be8b4f82b,journal
5390799920f770854f5c0fcd,journal
53a7279420f7420be8b93830,journal
5736ad6ed39c4f40a796a0ce,journal
53a72b1320f7420be8c18a7b,journal
53a7304720f7420be8ce5831,journal
53a72a9620f7420be8c06e2e,journal
572dc724d39c4f4993401bf1,journal
539078fb20f770854f5ab632,journal
53a7278720f7420be8b92c2a,journal
539078f320f770854f5a8976,journal
53a72a8420f7420be8c03ee3,journal
555037ab7cea80f95419562f,journal
53a7304c20f7420be8ce7b5d,journal
539078f920f770854f5ab4ce,journal
5390797020f770854f5bb908,journal
53a7324620f7420be8d89cb6,journal
5550370f7cea80f954171247,journal
53a7237320f74fc8a8f32e0b,journal
5390790320f770854f5adff6,journal
555036b77cea80f95414b7e3,journal
555036bd7cea80f95414f310,journal
53e1832b20f7dfbc07e8c546,journal
53a7295c20f7420be8bd1b2b,journal
539e78288314ff4cf4b6430f,journal
539ff061831432abcb3e2c51,journal
58c75a389ed5dba9165aff9f,journal
555036f77cea80f95416b5e5,journal
548267b8582fc50b5e32e70f,journal
55f9f1b6c35f4fb0d21d2327,journal
53a72d8a20f7420be8c693ac,journal
53a72a1f20f7420be8bf4659,journal
53a72b0020f7420be8c14f7e,journal
53a7306720f7420be8cef0af,journal
53e1898220f7dfbc07e8ef45,journal
5390794720f770854f5b640a,journal
555037377cea80f95417a12c,journal
53a72ed320f7420be8c9cd41,journal
53a724d920f7420be8b3c5dd,journal
555036e57cea80f9541656d9,journal
555036e17cea80f95416335c,journal
539078ee20f770854f5a83e7,journal
555036c17cea80f954152275,journal
53a72a5320f7420be8bfd430,journal
53e17f6420f7dfbc07e8ac9d,journal
539e75bd8314ff4cf4aaa97f,journal
53a7254220f7420be8b4a579,journal
539078f320f770854f5a896c,journal
5390793620f770854f5b5de6,journal
53a72f5c20f7420be8ca08e9,journal
53a7278920f7420be8b92c3a,journal
5550370b7cea80f95416f984,journal
53a724cc20f7420be8b3ae48,journal
5736ae3bd39c4f40a797606d,journal
555036ca7cea80f9541569a3,journal
555036d97cea80f95415f7fd,journal
53e1892520f7dfbc07e8eccf,journal
53a7324720f7420be8d8a872,journal
539ff3a0831432abcb481942,journal
53a7308720f7420be8cf7d82,journal
555036ba7cea80f95414db5b,journal
53a731d820f7420be8d65d92,journal
5390795f20f770854f5b8e1c,journal
555036ce7cea80f954158d22,journal
53a72d0a20f7420be8c583cc,journal
555037b67cea80f954197096,journal
53e183e020f7dfbc07e8c9ff,journal
53a7319c20f7420be8d53821,journal
53a7318920f7420be8d4b718,journal
53a726d620f7420be8b84af0,journal
53a7329a20f7420be8da5aaf,journal
539ff4a0831432abcb4a399f,journal
53a725d420f7420be8b5a99a,journal
555036f27cea80f954168669,journal
53a7283420f7420be8babe95,journal
5736b00cd39c4f40a798de95,journal
53a72f9d20f7420be8cb74a9,journal
53a7288c20f7420be8bb1302,journal
555036f67cea80f95416aa09,journal
53a725bc20f7420be8b57a21,journal
53a72ed320f7420be8c9cd40,journal
555036b57cea80f95414abd6,journal
53a727eb20f7420be8ba18d6,journal
5390891820f70186a0d92226,journal
555036f17cea80f954167a9c,journal
53a72c6620f7420be8c44ffe,journal
53a7294b20f7420be8bcf79c,journal
53e184ec20f7dfbc07e8d102,journal
5390798e20f770854f5be648,journal
53a7256d20f7420be8b4f82d,journal
53a731f020f7420be8d6d303,journal
539078f320f770854f5a8919,journal
53a7296a20f7420be8bd3e9e,journal
53a7316f20f7420be8d41e8f,journal
53e1807e20f7dfbc07e8b383,journal
555037777cea80f954188e5d,journal
555036bf7cea80f954150abc,journal
53a72d4920f7420be8c5fa31,journal
53a7286220f7420be8baeeba,journal
555036be7cea80f95414fefa,journal
53a7306420f7420be8cee4f6,journal
53a727cc20f7420be8b9c621,journal
53a7263920f7420be8b6c526,journal
5390799720f770854f5c0f75,journal
557de61ef6678c77ea21e624,journal
53e18c0920f7dfbc07e8ff23,journal
53a72e6820f7420be8c8bdec,journal
5550377a7cea80f954189a9d,journal
53a7310820f7420be8d1bc69,journal
555036cc7cea80f95415814b,journal
53a7321320f7420be8d78ec6,journal
555036de7cea80f954161b9c,journal
5390794f20f770854f5b6553,journal
555036e47cea80f954164b04,journal
555036d97cea80f95415f807,journal
53a7285720f7420be8baee63,journal
53a72dee20f7420be8c78b39,journal
53a72a7220f7420be8c00f98,journal
5550375e7cea80f9541835c1,journal
53a72b9320f7420be8c29aa6,journal
53a72c5620f7420be8c42c98,journal
53a731f620f7420be8d6ea84,journal
5390965420f70186a0df61ac,journal
53a72f3520f7420be8c9cd74,journal
5736ae63d39c4f40a797830f,journal
555037cf7cea80f95419b159,journal
53e17f8220f7dfbc07e8ad50,journal
555037217cea80f954175401,journal
53a7293b20f7420be8bcd41a,journal
53a7265320f7420be8b72f16,journal
53a72e8a20f7420be8c91092,journal
53a732b220f7420be8dae77b,journal
53a7311e20f7420be8d23d84,journal
555037187cea80f954172d25,journal
555037107cea80f954171265,journal
555036cc7cea80f954158135,journal
53a72bd120f7420be8c31c65,journal
53a731c620f7420be8d5ffad,journal
53a72b2c20f7420be8c1c59f,journal
555036c67cea80f954154630,journal
555036d87cea80f95415ec24,journal
53a726a520f7420be8b7d4a8,journal
53a7284520f7420be8bae227,journal
53a72fc720f7420be8cc3076,journal
53a7261320f7420be8b6667e,journal
57d0889c0a3ac5db49919226,journal
548249bf582fc50b5dfd9e6d,journal
53a7327220f7420be8d97bbc,journal
555037387cea80f95417ad4b,journal
53907a2b20f770854f5cf025,journal
53a72e9120f7420be8c9281e,journal
53a728b120f7420be8bb5a2a,journal
53a731f120f7420be8d6d308,journal
539089c620f70186a0d99dc8,journal
53907a9820f770854f5d78d4,journal
53e1861420f7dfbc07e8d90d,journal
53a727f020f7420be8ba24ac,journal
53907a7220f770854f5d4a6f,journal
53a72afe20f7420be8c14f72,journal
53907a7320f770854f5d4aa5,journal
5550371a7cea80f954173a0a,journal
5736af5ed39c4f40a798604a,journal
53a72dee20f7420be8c78b3b,journal
53e1889020f7dfbc07e8e925,journal
555037567cea80f95418295c,journal
55f959d4c35f4fb0d21ce758,journal
555036e57cea80f9541656e5,journal
555036f87cea80f95416b5f6,journal
5550372b7cea80f954177a47,journal
53a72b9720f7420be8c2a66d,journal
53a727aa20f7420be8b97356,journal
53a7293020f7420be8bca4fd,journal
53a72e7020f7420be8c8e133,journal
53a7275e20f7420be8b8cd6a,journal
53907a5a20f770854f5d204c,journal
55f960e8c35f4fb0d21cef76,journal
555036ca7cea80f954156998,journal
53a72a8220f7420be8c03321,journal
53a72e4d20f7420be8c8772e,journal
53e1882920f7dfbc07e8e675,journal
53a7315120f7420be8d385fb,journal
555036e07cea80f954163351,journal
53a72ce020f7420be8c519a3,journal
53a72c9820f7420be8c48b9a,journal
53a72b3320f7420be8c1d18a,journal
53a72e7b20f7420be8c8f8d4,journal
53a725e920f7420be8b5d8f6,journal
53a7280520f7420be8ba5fb7,journal
53907a6220f770854f5d21f1,journal
555037767cea80f954188df6,journal
53a732cf20f7420be8db745d,journal
53e1891b20f7dfbc07e8ec90,journal
53a7263820f7420be8b6c520,journal
53a72e0620f7420be8c7c642,journal
53907d3020f770854f60bc65,journal
53e184f720f7dfbc07e8d153,journal
53a729c620f7420be8be2b23,journal
53a729c620f7420be8be2b25,journal
555037667cea80f954185ab5,journal
