author,name
http://sdm_lab/5601870745cedb3395e690d9,T. Plagemann
http://sdm_lab/53f373c8dabfae4b349caa87,Naohisa Nagaya
http://sdm_lab/53f632e7dabfaead40c7166e,John Harrison
http://sdm_lab/53f4385ddabfaedd74db2dcb,David B. Holgate
http://sdm_lab/53f43685dabfaec09f17df79,Katie L. Hoffman
http://sdm_lab/562d4c4d45cedb3398db6a9f,Till Mossakowski
http://sdm_lab/53f456f4dabfaee2a1d76386,Christoph Vilsmeier
http://sdm_lab/53f42df0dabfaee2a1c83703,G. I. Davida
http://sdm_lab/53f4572ddabfaeecd69edfe1,S Nishizaka
http://sdm_lab/54084c15dabfae450f409687,Maurizio Rafanelli
http://sdm_lab/53f43e7fdabfaedce5567a06,Jung Sun Choi
http://sdm_lab/53f47363dabfaec09f27226c,Dominic Filion
http://sdm_lab/53f4363ddabfaee2a1ce59bf,Simon Scerri
http://sdm_lab/53f446e2dabfaeee229f94e6,Johanna VÃ¶lker
http://sdm_lab/53f46437dabfaeee22a4b8fe,Stijn Hoppenbrouwers
http://sdm_lab/53f42d0ddabfaeb22f40383e,R. C. Goldstein
http://sdm_lab/53f43706dabfaeee229b0820,Paul So
http://sdm_lab/53f45f15dabfaefedbb6e20d,Timothy B. Patrick
http://sdm_lab/53f42f9bdabfaee4dc73559d,Robert A. van de Geijn
http://sdm_lab/540830e3dabfae92b422d5dc,Lei Xin
http://sdm_lab/53f472e8dabfaeee22a81f74,F. Fabbrini
http://sdm_lab/53f43467dabfaedf4356cb70,Penglei Jin
http://sdm_lab/53f4312fdabfaedf43546ca1,JosÃ© Miguel Rivero
http://sdm_lab/548cb538dabfae8a11fb4c3a,Jeff Moehlis
http://sdm_lab/54410eaddabfae805a723b64,Manfred Kerber
http://sdm_lab/53f49386dabfaeb2f3f80498,Udo Hahn
http://sdm_lab/53f46f58dabfaeecd6a2f491,Werner Wirth
http://sdm_lab/53f44fb0dabfaedd74e136db,Sharath Pankanti
http://sdm_lab/53f431aadabfaeb22f43e452,Reiner R. Dumke
http://sdm_lab/53f43381dabfaedd74d82ffe,CÃ©dric Bastoul
http://sdm_lab/53f42cbbdabfaec09f10b13a,Stephen Scrivener
http://sdm_lab/53f3616bdabfae4b34987c8c,Pavel Gladyshev
http://sdm_lab/53f7ce5fdabfae938c6de099,Peter Mertens
http://sdm_lab/548a2b7cdabfaed7b5fa3f96,Paul Langacker
http://sdm_lab/54092b75dabfae450f4674cc,R. Chandrasekaran
http://sdm_lab/53f43e61dabfaeb22f4aa194,Amol Ghoting
http://sdm_lab/53f47279dabfaee2a1dde6b4,Paul Skritek
http://sdm_lab/53f438abdabfaedce55445dd,Beatriz Mendes
http://sdm_lab/53f44ac9dabfaeee22a08fba,Bryan Jones
http://sdm_lab/53f42bd0dabfaeb2acfd1ffb,JirÃ­ AdÃ¡mek
http://sdm_lab/548cddf1dabfae9b40135558,Nader Pouratian
http://sdm_lab/53f43f8bdabfaeb22f4ac946,Alfred Z. Spector
http://sdm_lab/548a0c6ddabfae9b40134ec5,Noga Alon
http://sdm_lab/56018a6945cedb3395e6d71d,Sarah Miller
http://sdm_lab/54409cf9dabfae805a6de166,Andreas Bender
http://sdm_lab/548c6f1bdabfae8a11fb4b3f,Therese Biedl
http://sdm_lab/54326282dabfaeb4c6a81c24,J. Brown
http://sdm_lab/53f445cbdabfaeecd69aa4eb,Fred R. M. Barnes
http://sdm_lab/53f437eedabfaec09f18b529,Gulyan S. Varadan
http://sdm_lab/53f64363dabfaea1823fa719,Phong Q. Nguyen
http://sdm_lab/53f460dddabfaec09f22a1d7,SÃ¸ren Debois
http://sdm_lab/56018a5a45cedb3395e6d51b,Lei Yang
http://sdm_lab/53f44d2bdabfaeb22f4dbc85,Uwe Petersohn
http://sdm_lab/53f44cdbdabfaee2a1d4e9bf,GermÃ  Coenders
